S. No.,Name of State/UT,Name of Organization,Grant released as per Scheme (In Rs.) - 2010-11,Grant released as per Scheme (In Rs.) - 2011-12,Grant released as per Scheme (In Rs.) - 2012-13,Grant released as per Scheme (In Rs.) - 2013-14,Grant released as per Scheme (In Rs.) - 2014-15 (up to 19.02.2015),Note of Grant released as per Scheme (In Rs.) - 2014-15 (up to 19.02.2015)
1,Andhra Pradesh,Nirman Association for the Mentally Handicapped Hyderabad.,122700,146250,NA,194250,181284,*
2,Andhra Pradesh,Government Girls Residential School for Visually Challenged Yended Beach Road Vishakapatnam AP-530045,236250,102621,146000,214000,240000,NA
3,Andhra Pradesh,Government Residential School for Deaf Avanthipuram (V) Post-Amruth Nagar Miryalguda Distt.-Nalgonda AP-508207,236250,216750,188980,175886,174820,NA
4,Andhra Pradesh,Government Residential School for Hearing Handicaped House No. 16-2-738/C/16 to 18 Asman garh Malaket Hyderbad-500036.,192000,NA,180000,160000,160000,NA
5,Assam,Kachajuli Physically Handicapped (Deaf & Dump) School & Training Centre Lakhimpur.,236250,196000,236250,20050,NA,NA
6,Assam,Bikalanga Kalyan Kendra Lakhimpur.,236250,207890,315000,315000,NA,NA
7,Assam,Ashadeep School for the Mentally Disabled Guwahati.,236250,248830,314496,260260,NA,NA
8,Bihar,Child Concern (Institute for Child Development Patna.,236250,NA,315000,NA,315000,*
9,Bihar,Bihar Disabled Sports Academy Patna.,236250,NA,315000,NA,315000,*
10,Bihar,Buddham Sharnam Gaya,NA,236250,270000,NA,NA,NA
11,Bihar,Viklang Samman Sansthan Koshi Roh Nawada (Bihar)-805107.,NA,236250,275000,NA,315000,*
12,Bihar,Umag Bal Vikas Patna,NA,236250,314800,NA,293083,*
13,Chandigarh,Society for the Blind Sector -26 Chandigarh.,183750,309154,236250,180000,300237,NA
14,Chandigarh,Government Model Senior Secondary School Raipur Khurd Chandigarh-160003.,236250,103799,236250,NA,291884,NA
15,Chandigarh,Government Model Senior Secondary School Sector 37-B Chandigarh,236250,NA,311177,NA,NA,NA
16,Delhi,J.P.M Sr. Secondary School For the Blind Lalbahadur Shastri Marg.,236250,NA,175144,NA,NA,NA
17,Delhi,Umrao Singh Education Society- Koshish Special School Karkardooma Delhi.,230250,NA,NA,NA,NA,NA
